Delivery_Time,prediction
190,190.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
100,100.0
100,100.0
100,100.0
100,100.0
100,100.0
100,100.0
90,90.0
90,90.0
90,90.0
90,90.0
50,50.0
50,50.0
145,144.80769230769232
145,144.80769230769232
95,88.55670103092784
95,88.55670103092784
140,131.97452229299364
120,119.6
120,119.6
145,145.0
60,60.0
60,60.0
60,60.0
60,60.0
90,90.0
90,90.0
90,90.0
90,90.0
90,90.0
90,90.0
90,90.0
90,90.0
90,90.0
90,90.0
100,100.0
100,100.0
90,89.05660377358491
90,89.05660377358491
90,89.05660377358491
90,89.05660377358491
90,89.05660377358491
90,89.05660377358491
18,18.0
18,18.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
12,12.0
12,12.0
12,12.0
12,12.0
65,65.0
65,65.0
65,65.0
65,65.0
110,110.0
110,110.0
110,110.0
110,110.0
110,110.0
110,110.0
110,110.0
110,110.0
65,65.0
65,65.0
65,65.0
105,112.47572815533981
105,112.47572815533981
105,112.47572815533981
135,135.0
115,115.0
115,115.0
150,150.0
150,150.0
20,20.0
20,20.0
55,55.0
75,75.0
75,75.0
70,70.0
70,70.0
70,70.0
70,70.0
70,70.0
80,80.0
80,80.0
95,91.50943396226415
95,91.50943396226415
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
135,135.0
135,135.0
135,135.0
135,135.0
135,135.0
135,135.0
135,135.0
135,135.0
135,135.0
135,135.0
135,135.0
135,135.0
135,135.0
135,135.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
95,95.0
110,110.0
110,110.0
110,110.0
100,100.0
100,100.0
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,84.81132075471699
85,85.0
85,85.0
85,85.0
90,90.0
90,90.0
90,90.0
13,13.0
13,13.0
13,13.0
60,60.0
60,60.0
55,55.0
55,55.0
55,55.0
55,55.0
70,68.19383259911895
70,68.19383259911895
70,68.19383259911895
70,68.19383259911895
70,68.19383259911895
70,68.19383259911895
70,68.19383259911895
70,68.19383259911895
70,68.19383259911895
70,68.19383259911895
70,68.19383259911895
70,68.19383259911895
70,68.19383259911895
70,68.19383259911895
70,68.19383259911895
70,68.19383259911895
80,80.0
80,80.0
80,80.0
80,80.0
80,80.0
80,80.0
130,130.0
130,130.0
130,130.0
55,55.0
55,55.0
60,60.0
85,80.8974358974359
85,80.8974358974359
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
75,75.0
75,75.0
120,120.0
120,120.0
120,120.0
120,120.0
55,55.0
55,55.0
55,55.0
55,55.0
80,80.8974358974359
80,80.8974358974359
130,126.93181818181819
130,126.93181818181819
130,126.93181818181819
130,126.93181818181819
130,126.93181818181819
130,126.93181818181819
130,126.93181818181819
130,126.93181818181819
120,126.93181818181819
100,100.0
100,100.0
100,100.0
100,100.0
100,100.0
100,100.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
120,112.47572815533981
120,112.47572815533981
90,89.6
90,89.6
90,89.6
105,105.0
105,105.0
105,105.0
135,135.0
135,135.0
135,135.0
85,85.78125
85,85.78125
85,85.78125
85,85.78125
75,75.0
75,75.0
75,75.0
75,75.0
125,125.0
135,135.0
135,135.0
75,75.0
75,75.0
100,102.98913043478261
100,102.98913043478261
65,65.0
65,65.0
65,65.0
75,75.0
75,75.0
75,75.0
75,75.0
75,75.0
75,75.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
60,60.0
105,105.0
105,105.0
105,105.0
105,105.0
105,105.0
115,115.0
115,115.0
115,115.0
75,75.0
75,75.0
75,75.0
80,80.0
80,80.0
80,80.0
80,80.0
80,80.0
80,80.0
80,80.0
80,80.0
80,80.0
80,80.0
80,80.0
125,125.76923076923077
125,125.76923076923077
125,125.76923076923077
125,125.76923076923077
70,70.3
85,84.9390243902439
85,84.9390243902439
85,84.9390243902439
85,84.9390243902439
85,84.9390243902439
85,85.0
85,85.0
120,120.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
75,75.0
75,75.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
70,70.0
50,50.0
85,85.0
85,85.0
85,85.0
85,85.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
80,74.4578313253012
80,74.4578313253012
80,74.4578313253012
80,74.4578313253012
80,74.4578313253012
70,74.4578313253012
70,74.4578313253012
70,74.4578313253012
70,74.4578313253012
70,74.4578313253012
70,74.4578313253012
70,74.4578313253012
70,74.4578313253012
70,74.4578313253012
70,74.4578313253012
70,74.4578313253012
85,85.78125
85,85.78125
85,85.78125
85,85.78125
85,85.78125
65,65.0
65,65.0
65,65.0
65,65.0
50,50.0
50,50.0
100,100.0
100,100.0
100,100.0
100,100.0
100,100.0
19,19.0
145,145.0
145,145.0
145,145.0
145,145.0
105,105.0
105,105.0
105,105.0
105,105.0
80,80.0
80,80.0
80,80.0
80,80.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
65,65.0
90,90.0
90,90.0
90,90.0
65,65.0
65,65.0
75,75.0
95,95.0
130,130.0
130,130.0
115,115.0
115,115.0
115,115.0
115,115.0
115,115.0
90,90.0
95,95.0
50,50.0
145,145.0
145,145.0
145,145.0
75,75.45751633986929
75,75.45751633986929
75,75.45751633986929
75,75.45751633986929
75,75.45751633986929
75,75.45751633986929
75,75.45751633986929
75,75.45751633986929
75,75.45751633986929
75,75.45751633986929
75,75.45751633986929
75,75.45751633986929
75,75.45751633986929
75,75.45751633986929
75,75.45751633986929
75,75.45751633986929
75,75.45751633986929
90,90.0
90,90.0
115,115.0
115,115.0
110,110.0
55,55.0
55,55.0
55,55.0
55,55.0
130,130.65217391304347
130,130.65217391304347
130,130.65217391304347
130,130.65217391304347
130,130.65217391304347
130,130.65217391304347
130,130.65217391304347
95,95.0
125,121.93548387096774
125,121.93548387096774
125,121.93548387096774
125,121.93548387096774
110,110.0
60,60.0
60,60.0
60,60.0
60,60.0
50,50.0
50,50.0
50,50.0
50,50.0
85,79.48148148148148
135,135.0
135,135.0
125,125.0
125,125.0
125,125.0
125,125.0
125,125.0
125,125.0
125,125.0
16,16.0
16,16.0
16,16.0
16,16.0
24,24.0
140,140.0
140,140.0
140,140.0
140,140.0
140,140.0
95,97.98245614035088
95,97.98245614035088
95,97.98245614035088
95,97.98245614035088
120,118.92857142857143
120,118.92857142857143
120,118.92857142857143
95,95.0
95,95.0
95,95.0
70,69.43037974683544
70,69.43037974683544
70,69.43037974683544
70,69.43037974683544
70,69.43037974683544
70,69.43037974683544
70,69.43037974683544
70,69.43037974683544
75,80.8974358974359
75,80.8974358974359
105,104.48275862068965
105,104.48275862068965
105,104.48275862068965
105,104.48275862068965
55,55.0
55,55.0
65,65.0
65,65.0
65,65.0
165,165.0
165,165.0
18,18.0
18,18.0
75,75.0
75,75.0
75,75.0
60,60.0
75,75.0
110,110.0
110,110.0
55,79.48148148148148
55,79.48148148148148
55,79.48148148148148
55,79.48148148148148
55,79.48148148148148
75,75.0
75,75.0
75,75.0
75,75.0
75,75.0
75,75.0
75,75.0
75,75.0
75,75.0
75,75.0
140,140.0
140,140.0
140,140.0
140,140.0
140,140.0
140,140.0
140,140.0
140,140.0
140,140.0
80,79.48148148148148
55,55.0
60,60.0
100,98.92344497607655
100,98.92344497607655
105,110.63192904656319
105,110.63192904656319
105,110.63192904656319
105,105.0
105,105.0
90,90.0
90,90.0
90,90.0
90,90.0
90,90.0
90,90.0
90,90.0
170,169.35114503816794
170,169.35114503816794
65,65.0
150,155.88135593220338
150,155.88135593220338
150,155.88135593220338
85,85.0
85,85.0
185,185.0
165,155.88135593220338
65,65.0
65,65.0
155,155.88135593220338
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
95,95.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
140,140.0
140,140.0
140,140.0
12,12.0
12,12.0
12,12.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
50,50.0
75,75.0
75,75.0
75,75.0
140,140.0
140,140.0
140,140.0
140,140.0
140,140.0
80,80.0
80,80.0
80,80.0
80,80.0
130,130.0
130,130.0
130,130.0
130,130.0
165,164.9512195121951
165,164.9512195121951
165,164.9512195121951
165,164.9512195121951
165,164.9512195121951
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
55,55.0
165,165.0
165,165.0
165,165.0
95,95.0
95,95.0
95,95.0
50,50.0
50,50.0
50,50.0
90,90.0
90,90.0
90,90.0
90,90.0
210,210.0
105,105.0
105,105.0
105,105.0
105,105.0
105,105.0
105,105.0
105,105.0
105,105.0
105,105.0
160,160.08333333333334
160,160.08333333333334
15,15.0
15,15.0
15,15.0
180,180.0
180,180.0
180,180.0
180,180.0
180,180.0
180,180.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
120,120.0
190,190.0
190,190.0
190,190.0
145,145.04854368932038
145,145.04854368932038
145,145.04854368932038
145,145.04854368932038
80,80.0
80,80.0
80,80.0
80,80.0
